전시회,전시회 영문명,개최기간,품목 대분류,개최국가,개최도시,공동수행기관
미국 라스베가스 소비재 전자제품 전시회,Consumer Electronics Show,01-07~01-10,전기전자,미국,라스베가스,KOTRA
영국 런던 교육장비 전시회,British Education Training and Technology,01-22~01-24,고부가,영국,런던,한국과학기기공업협동조합
브라질 상파울루 치과학 전시회,2025 Congresso Internacional de Odontologia de Sao Paulo,01-22~01-25,바이오헬스,브라질,상파울루,한국치과의료기기산업협회
러시아 모스크바 국제 식품 전시회,2025 PROD EXPO,02-03~02-07,종합/기타,러시아,모스크바,글로벌에프엠
이탈리아 밀라노 춘계 우니카,Milano Unica 2025 S/S,02-04~02-06,섬유패션,이탈리아,밀라노,한국섬유수출입협회
아랍에미리트 두바이 치과기자재 전시회,UAE Internaitional Dental Conference & Arab Dental,02-04~02-06,바이오헬스,아랍에미리트,두바이,한국치과의료기기산업협회
이탈리아 밀라노 광학 전시회,"MIDO , internation optics, optomerty and ophthalmology exhibition",02-08~02-10,생활용품,이탈리아,밀라노,한국광학공업협동조합
사우디아라비아 리야드 건축 전시회,Big 5 Construct Saudi 2025,02-15~02-18,건축기자재,사우디아라비아,리야드,KOTRA
미국 뉴욕 춘계 패션 코테리,2025 COTERIE- Women's Fashion Show in New York ,02-18~02-20,섬유패션,미국,뉴욕,한국패션소재협회
일본 도쿄 이차전지 전시회,International Rechargeable Battery Expo,02-19~02-21,녹색기술,일본,도쿄,한국배터리산업협회
스페인 바르셀로나 정보통신 전시회,MWC Barcelona,03-03~03-06,정보통신,스페인,바르셀로나,한국정보통신기술산업협회
일본 오사카 의료기기 전시회,2025 International Medical & Elderly Care Expo Osaka,03-05~03-07,바이오헬스,일본,오사카,한국의료기기산업협회
일본 도쿄 국제 식품 전시회,International Food and Beverage Exhibition 2025,03-11~03-14,종합/기타,일본,도쿄,경기도경제과학진흥원
중국 베이징 프랜차이즈 전시회,CHINA FRANCHINSE EXPO 2025,03-14~03-16,고부가,중국,베이징,글로벌에프엠
이탈리아 볼로냐 코스모프로프,Cosmoprof Worldwide Bologna,03-20~03-22,생활용품,이탈리아,볼로냐,국제뷰티산업교역협회
독일 쾰른 치과기자재 전시회,IDS,03-25~03-29,바이오헬스,독일,쾰른,한국치과의료기기산업협회
독일 하노버 산업 전시회 (기계관),Hannover Messe,03-31~04-04,기계류,독일,하노버,코아미인포마마켓
독일 하노버 산업 전시회 (로봇관),Hannover Messe,03-31~04-04,기계류,독일,하노버,한국로봇산업협회
미국 라스베가스 보안 전시회,International Security Conference West,04-02~04-04,정보통신,미국,라스베가스,한국정보보호산업협회
베트남 하노이 엑스포,Vietnam International Trade Fair,04-02~04-05,종합/기타,베트남,하노이,인천테크노파크
일본 도쿄 애완동물 전시회,INTERPETS ASIA PACIFIC 2025,04-03~04-06,종합/기타,일본,도쿄,한국펫산업수출협회
미국 라스베가스 방송장비 전시회,National Association Broadcasters 2025,04-06~04-09,전기전자,미국,라스베가스,한국정보통신기술산업협회
독일 뮌헨 건축 건설 전시회,BAUMA 2025,04-07~04-13,건축기자재,독일,뮌헨,한국건설기계산업협회
중국 상하이 춘계 의료기기 전시회,The China International Medical Equipment Fair(CMEF) 2025,04-08~04-11,바이오헬스,중국,상하이,한국의료기기협동조합
홍콩 춘계 소비재 전자 전시회,Global Sources Consumer Electronics Show - Hong Kong (GSCES 2025),04-11~04-14,전기전자,중국(홍콩),홍콩,매직익스비션스홍콩리미티드한국지점
중국 하이커우시 국제 소비재 전시회,CHINA INTERNATIONAL CONSUMER PRODUCTS EXPO,04-13~04-18,생활용품,중국,하이커우시,한국뷰티산업무역협회
중국 광저우 춘계 수출입상품 교역 전시회(1기),135th CHINA IMPORT AND EXPORT FAIR CANTON FAIR,04-15~04-19,종합/기타,중국,광저우,한국정보기술연구원
중국 베이징 공작기계 전시회 (공구관),China International Machine Tool Show 2025,04-21~04-26,기계류,중국,베이징,한국공구공업협동조합
중국 베이징 공작기계 전시회 (공작기계관),China International Machine Tool Show 2025,04-21~04-26,기계류,중국,베이징,한국공작기계산업협회
브라질 상파울루 자동차 부품 전시회,Automec 2025,04-22~04-26,자동차조선,브라질,상파울루,아인글로벌
일본 도쿄 교육 종합 전시회,EDUCATION EXPO JAPAN 2025,04-23~04-25,고부가,일본,도쿄,트레이드월드
