"순번","국가명","무역관명","무역관주소","공항무역관이동"
1.0,파나마,파나마 무역관 ,"  ㅇ 주소: Korea Business Center, World Trade Center 18th floor, Calle 53, Marbella, Ciudad de Panama, Panama(P.O.Box : 832-0262)  ㅇ 전화번호: +507-264-8105  ㅇ 이메일: kotrapanama@gmail.com, hyomin@kotra.or.kr","  ㅇ 파나마 공항: Aeropuerto Internacional de Tocumen (PTY)  ㅇ 무역관 위치: Calle 53 Este, World Trade Center Piso 18, Panam&aacute; 공항에서 약 20km이며, 30분 내외 소요  ㅇ 교통수단: 택시(Uber, 공항택시), 버스(Metro bus)    - Uber: 15~30달러(수급에 따라 상이)    - 공항택시:  30~40달러    - 버스: 0.25달러 (충전식 교통카드 구매 필요, 현금 불가, 버스별 노선 확인 필요)  ㅇ 택시 탑승 시: 기사에게 World Trade Center 요청  ㅇ 버스 탑승 시: Plaza New York 정거장에서 하차    * World Trade Center 건물 1층 안내 데스크를 통해 출입증 수령, 18층 이동 "
2.0,벨라루스,민스크 무역관,"코로나19 사태 이후, 2020년부터 EMS는 잠정서비스 중단되었으며, 그나마 EMS프리미엄(UPS) 또는 DHL, Fedex, TNT 같은 특사우편을 통해 운송이 가능했으나, 2022년 2월 발발한 우크라이나-러시아 전쟁 이후에는 이러한 특사우편을 통한 운송방법마저 중단된 상태임을 감안해야 한다. 무역관으로 우편물 발송을 희망할 경우 운송업체 확인 뿐만 아니라 반드시 사전에 민스크무역관에 연락하여 가능 여부 및 주의사항 확인이 필요하다.ㅇ 우편물 수령자: Commercial Section of the Embassy of the Republic of Korea    - 샘플, 자료 등 송부 시 수취인 명에 꼭 상기 내용을 기재해야 함    - 아울러, 송장에 &#39;&#39;No commercial value&#39;&#39;, &quot;The price is indicated only for customs clearance&quot;, &quot;This sample is not for sale.&quot; 등을 기재해야 세관 통관 시 큰 문제가 되지 않음    - KOTRA Minsk 등으로 기재하면 세관에 잡히는 경우가 많음    - 무역관은 주벨라루스 한국 대사관 상무부로 정식 등록되어 있기 때문에 소량의 경우 큰 무리없이 샘플 등을 수령할 수 있음  ㅇ 주소: Office 509, 70 Myasnikova street, Minsk, 220030, Republic of Belarus  ㅇ 전화: +375-17-200-0168~9    - 인터넷전화 070-7001-0420, 070-7001-0421도 있어, 한국에서 국제전화요금 부담 없이 통화 가능  ㅇ 팩스: +375-17-200-0156  ㅇ 이메일: kotra@kotraminsk.by","  ㅇ 공항 출발 시    - 공항에서 무역관까지 거리는 약 32km이며, 차량으로 이동 시 40~50분가량 소요된다.    - 공항에서 민스크 시내 및 무역관으로 오는 방법은 공항버스와 택시가 있으나, 택시 이용을 추천한다.    - 공항버스 이용 시, 티켓 구매 등을 하기 위해 현지인과 의사소통이 필요하나, 현지인이 영어를 구사하는 경우가 드물다.    - 택시를 이용할 경우, 벨라루스 현지화로 40~50루블(약 16~20달러)이다.  ㅇ 무역관 입주 건물 도착 후    - 로비 Security Desk에서 방문처(KOTRA)를 밝히면 안내원이 무역관에 연락하여 손님이 방문했음을 알려준다.    - 무역관에서 직원이 1층 로비로 내려가서 손님을 맞이하고 무역관 사무실로 안내한다.    - 무역관 방문 전 이메일 또는 유선으로 방문 일정을 사전에 협의하는 것이 좋다."
3.0,베트남,동남아대양주지역본부 및 하노이 무역관,"  ㅇ 주소: 20th Fl, Office Block of the Charm Vit Tower, Grand Plaza, 117 Tran Duy Hung, Cau Giay, Ha Noi, Vietnam  ㅇ 전화: +84-24-3946-0511  ㅇ 팩스: +84-24-3946-0519  ㅇ 이메일: kotrahanoikbc@gmail.com","  ㅇ 베트남 수도인 하노이 시내 남서쪽에 있는 참빛빌딩(Charmvit Building)에 소재해 있다.  ㅇ 노이바이(Noi Bai) 국제공항에서 하노이 무역관을 방문하기 위해서는 일반적으로 택시를 이용하시는 것이 편리하다.    - 택시요금은 편도 15~20달러 정도, 주행시간은 약 40분 소요된다.    - 승차 전에 반드시 가격을 문의하고 이용할 것을 권장한다."
4.0,베트남,호치민 무역관,"  ㅇ 주소: 708B, 7th Fl, Diamond Plaza, 34 Le Duan, District 1, Ho Chi Minh City, Vietnam  ㅇ 전화: +84-28-3822-3944  ㅇ 팩스: +84-28-3822-3941  ㅇ 이메일: kotrasgn@hanmail.net",  ㅇ 떤선녓 국제공항(Tan Son Nhat International Airport) 출발 시    - 버스: 시내로 가는 공항버스(109번 버스)가 있으며 2만 동(0.8달러)으로 Pasteur거리에서 하차해 10분 정도 도보로 이동해야 한다. 공항버스보다 저렴한 로컬버스도 있지만 외국인이 캐리어를 들고 타기엔 노선이 복잡하기에 공항버스 혹은 택시 이동이 편리하다.     - 택시: 공항에서 무역관까지 약 15만 동(약 6달러) 소요된다(공항 택시 주차비 1만 동 별도).     * 2024년 4월 고시환율 기준
5.0,베트남,다낭 무역관,"  ㅇ 주소: 4F, Bach Dang Complex, 50 Bach Dang St., Hai Chau Dist., Da Nang, Vietnam  ㅇ 전화: +84-236-377-9700  ㅇ 팩스: +84-236-377-9701  ㅇ 이메일: danang@kotra.or.kr","  ㅇ 다낭공항에서 다낭무역관 이동하는 경우 일반적으로 택시 이용이 편리하다.   ㅇ 내부가 비교적 깨끗하고 기본적인 영어가 가능한 띤사(Tien Sa / 노란색)나 마이린(Mai Linh / 초록색) 택시 이용을 권장한다.  ㅇ 공항에서 무역관까지 소요시간은 15분 정도이고, 요금은 12만 동(약 4.8달러) 정도이다.    * 2024년 4월 고시환율 기준"
6.0,우크라이나,키이우 무역관,"  ㅇ 주소: Commercial Section of Embassy of the Republic of Korea, KOTRA, 4th Floor, Business Centre Khreshatyk Plaza, 19a Khreshatyk Str., 01001, Kyiv, Ukraine  ㅇ 전화: +38-044-495-2951  ㅇ 팩스: +38-044-495-2978  ㅇ 대표 이메일: Kyiv@kotra.net.ua","키이우 무역관은 지하철 흐레샤티크(Khreshchatyk) 역사와 붙어있다. 그러나 현재 흐레샤틱까지는 전철이 운행되고 있지 않아 마이단네잘레즈노스티(Maidan Nezalezhnosti)역에서 내려 5분 정도 걸어가야 한다. 키이우 시내 최중심지에 위치해 있어 쉽게 찾아올 수 있다.택시를 이용(키이우 보리스필 국제공항&rarr;키이우 무역관)할 경우 택시요금은 대략 U$20-30 내외로 소요시간은 40~50분이다. 바가지 요금을 쓰지 않기 위해서는 Uber나 Uklon 등의 어플리케이션을 활용하여 택시를 이용하는 것이 바람직하다.그러나 현재 러시아- 우크라이나 사태로 인해 항공은 운영되지 않고 있다. 공항버스(SKY BUS)를 이용(키이우 보리스필 국제공항&rarr;키이우 무역관)할 경우 종착역인 1호선 키이우 중앙역(Vokzalna)에서 하차한 후, 지하철을 이용하여 마이단네잘레즈노스티(Maidan Nezalezhnosti)역에서 내려 5분 정도 걸어야 한다. 현재는 러-우 사태로 인해 항공운행하지 않는다.  그러나 2022년 2월 13일부터 우크라이나는 여행경보 4단계, 여행 금지 구역으로 지정이 되어 한국 외교부에서 예외적 여권 사용 허용을 받은 사람만이 방문할 수 있다. "
7.0,불가리아,소피아 무역관,"  ㅇ 주소: B100, Interpred-WTC, 36 Dragan Tsankov Blvd., Sofia 1057  ㅇ 전화번호: +359-(0)2-969-5030  ㅇ 이메일: mp920@kotra.or.kr  ㅇ 홈페이지 : https://www.kotra.or.kr/KBC/sofia/KTMIUI010M.html","ㅇ 지하철로 이동 시    - 공항 도착 터미널 출구를 나와 좌측으로 이동하면 도보 5분 거리에 지하철 역(Sofia Airport 역/4호선 종점)이 위치하고 있으며, 해당 역에서 Obelya 방면 지하철 을 탑승한다. (요금은 1유로 내외 소요)    - Sofia Airport역을 기준으로 9 정거장 후인 줄리오큐리역(Joliot Curie)에 하차 후 인터프레드(Interpred) 출구로 나와 5분 가량 도보로 이동하면 인터프레드 빌딩이 보이며, 무역관은 인터프레드 B동(인터프레드 정문을 바라보고 우측) 100호(한국 기준 2층/불가리아 기준 1층)에 위치하고 있다.ㅇ 택시로 이동 시   - 공항 도착 터미널 출구를 나와 우측으로 이동하면 도보 2분 거리에 OK 택시 승강장이 있으며, 택시 기사에게 &#39;Interpred&#39;(인터프레드) 또는 &#39;Joliot Curie&#39;(줄리오큐리)역으로 이동할 것을 요청한다. (10유로 내외 소요)  - 무역관은 인터프레드 B동(인터프레드 정문을 바라보고 우측)  100호(한국 기준 2층/불가리아 기준 1층)에 위치하고 있다.  * (참고) 일부 사설 택시가 외국인 대상 부당 요금을 청구하는 사례로가 있어, 현지에서 가장 규모가 큰 회사인 OK택시(택시에 9732121로 전화번호가 적혀 있다), Yellow Taxi를 타거나, 현지 택시 앱인 &#39;TAXI ME&#39;와 &#39;Yellow Taxi&#39; 앱을 사용하는 것을 권장한다. "
8.0,대만,타이베이 무역관,"  ㅇ 주소:     - (영문) Rm.2214, 22F., TWTC International Trade Bldg., No.333, Sec.1, Keelung Rd., Xinyi Dist., Taipei City, Taiwan    - (중문) 台北市 信義區 基隆路一段 333號 國際貿易大樓 22樓 2214室    - (우편번호) 110208  ㅇ 전화번호: +886-2-2725-2324&nbsp;&nbsp;ㅇ 팩스번호: +886-2-2757-7240  ㅇ 이메일: kotra.tpe@msa.hinet.net","  ㅇ 타오위앤공항 출발    - 지하철: 공항철도로 &#39;타이베이메인스테이션&#39;까지 이동한 후 MRT R선으로 환승해 &#39;타이베이101/월드트레이드센터&#39;에서 하차. 1번 출구로 나와 우측으로 도보 2분 거리    - 택시: 입국장 밖 택시 승강장을 이용. 타이베이 시내까지 약 1시간 소요. 비용은 1,300대만달러 안팎    - 버스: 입국장에서 안내판을 따라 버스매표소로 이동. 1960번 大有巴士(CitiAir Bus) 시정부버스터미널행 승차권(편도 160대만달러)을 구매해 탑승. 하얏트호텔까지 약 1시간 소요. 하차 후 무역관이 소재한 빌딩(하얏트호텔 옆 분홍색 직사각형 고층 건물)까지 5분 이내  ㅇ 타이베이 쑹산공항 출발    - 지하철: 입국장 밖에서 MRT BR선 탑승 후 &#39;다안(Da&#39;an)&#39;에서 R선으로 환승하고 &#39;타이베이101/월드트레이드센터&#39;에서 하차. 1번 출구로 나와 우측으로 도보 2분 거리    - 택시: 무역관까지 15분 정도 소요. 비용은 200대만달러대&nbsp;&nbsp;ㅇ 건물 도착 후    - 정문 로비 우측에 있는 안내데스크 옆 엘리베이터를 타고 22층으로 이동. 엘리베이터에서 내린 후 &#39;주타이베이 한국대표부&#39;를 등지고 좌회전    - 방문 전에 이메일 또는 전화로 미리 방문일정 협의 권장"
9.0,에티오피아,"아디스아바바 무역관 (Korea Business Center, Addis Ababa - Commercial Section, Embassy of the Rep. of Korea)","  ㅇ 무역관 주소: Nifas Silk Laphto subcity, Woreda 03, South Africa Avenue, House no. 977, 4th Fl. Bisrate Gabriel Area, next to Bayne Building, Addis Ababa, Ethiopia  ㅇ 전화: (251-11)320-4305/4319/4391   ㅇ 팩스: (251-11)320-4396","아디스아바바 무역관은 Bole International Airport 또는 시내 쉐라톤 호텔,  힐튼 호텔, 인터컨티넨탈 호텔 등지에서 택시 및 승용차로 약 30분 정도 소요되나, 교통 체증 시 1시간도 소요될 수 있다. 현지 교통수단은 버스나 마이크로 버스도 있으나 현지인 위주로만 사용하고 외국인이 이용하기에는 표지판, 언어 등 불편한 점이 많아 택시 이용을 권장한다. 에티오티아는 택시에 미터기가 없어서 승차 전 흥정이 필요하다. 아디스아바바 볼레 국제공항(Bole International Airport)에서 아디스아바바 무역관 사무실까지는 현지화 350-400 Birr(약 7-8 USD 내외) 정도를 지불하면 적당하다. 아디스아바바 볼레 국제공항 출구를 나와 주차장으로 이동하면 일반 택시 대기 장소가 있다. 택시는 두 가지가 있는데 노란 택시가 파란 택시보다는 더 신형이고, 파란 택시는 벼룩에 물릴 가능성도 높아 노란 택시를 권장한다. 최근에는 에티오피아에도 우버와 비슷한 서비스로 Ride 및 Feres라는 차량 공유 서비스가 있다. 핸드폰에 App을 깔아 즉시 사용도 가능하고, 대금은 우버와는 다르게 현금으로 지불하며, 택시와는 달리 가격 흥정이 필요 없으므로 권장할 만하다. 금액도 택시 서비스의 약 절반 정도로 저렴하고, 편안하게 이동할 수 있다. 금액은 Feres가 Ride 보다 약간 더 싼 편이다. 공항에서 내려서 앱을 사용하여 드라이버와 주차장에서 만나면 된다. 공항 혹은 호텔이 밀집한 Bole 지역에서부터 출발할 경우 택시기사에게 laphto mall 방향으로 이동하자고 한 후, 대부분의 기사가 GPS 활용법을 모르고 목적지를 못 찾기 때문에 인근에서는 본인의 핸드폰 Google Map에서 KOTRA Addis Ababa를 찾으면 나오는 주소로 Google Navi를 이용하여 기사에게 길을 가르쳐 주거나, 아니면 무역관에 전화하여 설명을 요청하는 것이 좋다."
10.0,프랑스,파리 무역관,"  ㅇ 주소: 19 Avenue de l&#39;Opera, 75001 Paris  ㅇ 전화번호: 33-(0)1-5535- 8888  ㅇ 이메일: paris@kotra.or.kr   ㅇ 홈페이지: https://www.kotra.or.kr/subList/20000005998/ovrssKbc/selectOvrssKbcDetail.do?deptCd=9518","  ㅇ 샤를드골(CDG) 또는 오를리(Orly) 공항에서 전철 이용 시    - 각 공항에서 RER B선 탑승, 파리 중심가에 위치한 Chatelet Les Halles 역에서 Gare Saint Lazare 역 방향 지하철(Metro) 14호선으로 환승 후, 첫 번째 역인 Pyramides에서 하차해 출구(Sortie)로 나오면 파리무역관이 위치한 오페라(Avenue de l&#39;Opera) 가의 중간지점으로 나오게 된다.  ㅇ 샤를드골 공항에서 공항버스(Roissy 버스(루아시버스)) 이용 시     - 샤를드골 공항에서 Roissybus 탑승, 종점 Opera 옆길 Rue Scribe에서 하차한 후, 오페라 하우스 건물 앞쪽으로 돌아 나와 Avenue de l&#39;Opera로 이동한다. Avenue de l&#39;Opera에서 루브르 박물관 방향(남쪽)으로 약 300m 거리에 파리무역관이 위치해있다.   ㅇ 오를리 공항에서 공항버스 이용 시    - 오를리 공항에서 오를리버스(Orlybus) 탑승, 종점 Denfert Rochereau(덩페르로슈로)에서 하차, 5미터 동쪽에 위치한 Denfert Rochereau역에서 CDG공항 행 또는 Mitry-Claye행 RER B선을 타고 Les Halles에서 하차 한다.  Saint Lazare행 지하철 14호선을 타고 피라미드(Pyramides)에서 내려 왼쪽의 출구(Sortie)로 나오면 파리무역관이 위치한 오페라(Avenue de l&#39;Opera)로 나오게 된다."
