수출입 통계,,,,,,,
수출 지역 순위,국가명,조회기준,수출금액 (단위:$),수입금액 (단위:$),수출 점유율,수입 점유율,품목 HS CODE
1,중국,2026,42832327203,39016683419,19.48796727,23.03007406,전체
2,미국,2026,41075510254,19743764955,18.68864597,11.65399848,전체
3,베트남,2026,19426770787,9195329231,8.838844348,5.427655418,전체
4,홍콩,2026,17191696924,1125042071,7.821924439,0.664069827,전체
5,대만,2026,14717548291,8658385986,6.696229649,5.110718108,전체
6,일본,2026,7343994141,12970361383,3.341390178,7.655914266,전체
7,싱가포르,2026,6181474936,3698372720,2.812464068,2.183009681,전체
8,인도,2026,5387670603,1605657967,2.451296841,0.947759231,전체
9,호주,2026,5030788035,8453291310,2.288921452,4.98965847,전체
10,필리핀,2026,4171216817,1053857705,1.89783143,0.622052385,전체
11,말레이시아,2026,4129950849,4691863298,1.879056129,2.769429632,전체
12,멕시코,2026,3472124327,2508355294,1.579756452,1.480587357,전체
13,네덜란드,2026,3170718424,4086714048,1.442621984,2.412232894,전체
14,캐나다,2026,3109112420,2312996465,1.414592319,1.365274422,전체
15,독일,2026,2527848878,5269355509,1.150127472,3.110301465,전체
16,태국,2026,2502641194,1691121433,1.138658412,0.998205086,전체
17,튀르키예,2026,2403482465,442124393,1.093542907,0.260969324,전체
18,폴란드,2026,1981681862,294126658,0.901630936,0.173611853,전체
19,영국,2026,1976632145,1032390388,0.899333402,0.609381039,전체
20,인도네시아,2026,1873434060,3010024731,0.85238006,1.776703871,전체
21,마샬 제도,2026,1700222646,5702819,0.773571866,0.003366159,전체
22,브라질,2026,1439963888,1436456244,0.655158637,0.847885847,전체
23,벨기에,2026,1380833550,411691586,0.628255357,0.243005988,전체
24,이탈리아,2026,1286103035,2142565402,0.585154613,1.264675404,전체
25,아랍에미리트,2026,1233207803,3560553716,0.561088198,2.10166033,전체
26,라이베리아,2026,1179423211,10082530,0.53661714,0.005951337,전체
27,헝가리,2026,1074799998,201386940,0.48901539,0.118871102,전체
28,뉴질랜드,2026,1068488734,397150817,0.486143874,0.234423122,전체
29,스페인,2026,1029747169,686408290,0.468517133,0.405160879,전체
30,프랑스,2026,1026254558,2576290287,0.466928055,1.520686817,전체
31,체코,2026,836592091,486303286,0.380634916,0.287046456,전체
32,러시아연방,2026,782584958,1656186632,0.356062606,0.977584393,전체
33,사우디아라비아,2026,774549506,6256227067,0.352406615,3.692814459,전체
34,그리스,2026,750801738,262918564,0.341601791,0.155190895,전체
35,몰타,2026,603888691,57402547,0.274758899,0.033882555,전체
36,스위스,2026,549170107,942683498,0.24986289,0.556430452,전체
37,방글라데시,2026,548762776,170299555,0.249677562,0.100521393,전체
38,이집트,2026,542901045,60743620,0.247010576,0.035854664,전체
39,슬로바키아,2026,519017844,148755921,0.236144133,0.087805,전체
40,파나마,2026,517380092,99872007,0.235398984,0.058950672,전체
41,키르기스스탄,2026,495446165,425117,0.225419427,0.000250931,전체
42,우즈베키스탄,2026,467154222,5020561,0.212547083,0.002963448,전체
43,이스라엘,2026,437142889,372552520,0.198892446,0.219903676,전체
44,스웨덴,2026,390329498,662698153,0.177593163,0.391165681,전체
45,카자흐스탄,2026,382928975,33610126,0.174226054,0.019838788,전체
46,노르웨이,2026,355669800,342505612,0.161823601,0.202168122,전체
