품목번호,품명(국문),품명(영문),통제번호
HSKCD,HSKNM,HSENM,CNTRLNO
2507001010,하소하지 않은 것.,Not calcined.,1C111.d.
2507001090,기타.,Other.,1C111.d.
2507002010,와목점토(蛙目粘土).,Gairome clays.,1C111.d.
2507002020,목절점토(木節粘土).,Kibushi clays.,1C111.d.
2507002090,기타.,Other.,1C111.d.
2507009000,기타.,Other.,1C111.d.
2612100000,우라늄광과 그 정광(精鑛).,Uranium ores and concentrates.,0C001.
2612200000,토륨광과 그 정광(精鑛).,Thorium ores and concentrates.,0C001.
2617904000,비스무트(bismuth)광과 그 정광(精鑛).,Bismuth ores and concentrates.,1C229.
2620990000,기타.,Other.,0C001.
2707100000,벤조올(벤젠).,Benzol (benzene).,1C111.
2707200000,톨루올(톨루엔).,Toluol (toluene).,1C111.
2707300000,크실롤(크실렌).,Xylol (xylenes).,1C111.
2707400000,나프탈렌.,Naphthalene.,1C111.
2707500000,그 밖의 방향족(芳香族) 탄화수소의 혼합물[섭씨 250도에서 아이ㆍ에스ㆍ오(ISO) 3405방법{에이ㆍ에스ㆍ티ㆍ엠 디(ASTM D)86의 방법과 동등}으로 증류한 양이 전 용량의 100분의 65 이상(손실분을 포함한다)인 것으로 한정한다].,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ISO 3405 method (equivalent to the ASTM D 86 method),1C111.
2707999000,기타.,Other.,1C111.
2710122000,항공 휘발유.,Aviation spirit,1C111.
2710123000,프로필렌테트라머(propylene tetramer).,Propylene tetramer,1C111.
2710124000,나프타.,Naphtha,1C111.
2710125000,엔지엘(NGL).,Natural gas liquid,1C111.
2710129000,기타.,Other,1C111.
2710191090,기타.,Other.,1C111.
2710192020,제트 연료유.,Jet fuel.,1C111.
2710192090,기타.,Other.,1C111.
2710193000,경유.,Gas oils.,1C111.
2710197900,기타.,Other.,1C111.
2710198090,기타.,Other.,1C111.
2710201020,항공 휘발유.,Aviation spirit.,1C111.
2710201030,프로필렌테트라머(propylene tetramer).,Propylene tetramer.,1C111.
2710201090,기타.,Other.,1C111.
2710209110,제트 연료유.,Jet fuel.,1C111.
2710209190,기타.,Other.,1C111.
2710209220,제트 연료유.,Jet fuel.,1C111.
2710209230,노르말-파라핀(n-paraffin).,n-paraffin,1C111.
2710209290,기타.,Other.,1C111.
2710209490,기타.,Other.,1C111.
2710209510,조유(粗油).,Raw oils.,1C111.
2710209520,윤활유 기유(基油).,Lubricating base oil.,1C111.
2710209600,신전유(extender oil).,Extender oil.,1C111.
2710209711,항공기용 기관오일.,Aviation engine oil.,1C111.
2710209810,알루미늄을 첨가한 것.,Containing aluminium as additive.,1C111.
2710209890,기타.,Other.,1C111.
2710209900,기타.,Other.,1C111.
2711144000,부타디엔.,Butadiene.,1C111.
2711190000,기타.,Other.,1C111.
2711290000,기타.,Other.,1C111.
2712200000,파라핀왁스(기름의 함유량이 전 중량의 100분의 0.75 미만인 것으로 한정한다).,Paraffin wax containing by weight less than 0.75 % of oil..,1C111.
2712909090,기타.,Other.,1C111.
2803009019,기타.,Other,1C111.d.
2803009090,기타.,Other.,1C111.d.
2804291000,헬륨.,Helium.,1C232.
2804501000,붕소.,Boron.,1C011.b.
2804501000,붕소.,Boron.,1C225.
2804502000,텔루르.,Tellurium.,6C002.
2804502000,텔루르.,Tellurium.,6C002.a.
2805120000,칼슘.,Calcium.,1C227.
2805190000,기타.,Other.,0B001.c.2.
2805190000,기타.,Other.,1C233.
2808001090,기타.,Other.,1C111.a.3.e.
2808002000,황질산.,Sulphonitric acids.,1C111.a.3.e.
2810001010,삼산화 이붕소.,Diboron trioxide.,1C225.
2810001090,기타.,Other.,1C225.
2810002000,오르토붕산.,Ortho boric acid.,1C225.
2810003000,메타붕산.,Meta boric acid.,1C225.
2810009000,기타.,Other.,1C225.
2811111000,반도체 제조용.,For making semiconductor.,1C350.24.
2811119000,기타.,Other.,1C350.24.
2811120000,시안화수소(시안화수소산).,Hydrogen cyanide (hydrocyanic acid),1C450.a.6.
2811199000,기타.,Other.,1C231.
2811199000,기타.,Other.,1C234.
2811293000,이산화질소.,Nitrogen dioxide.,1C111.a.3.b.
2811299000,기타.,Other.,1C111.a.3.
2811299000,기타.,Other.,1C111.a.3.a.
2811299000,기타.,Other.,1C111.a.3.b.
2811299000,기타.,Other.,1C111.a.3.c.
2811299000,기타.,Other.,1C111.a.3.d.
2811299000,기타.,Other.,1C238.
2812110000,카보닐 디클로라이드(포스겐).,Carbonyl dichloride (phosgene),1C450.a.4.
2812120000,포스포러스 옥시클로라이드.,Phosphorus oxychloride,1C350.2.
2812130000,포스포러스 트리클로라이드.,Phosphorus trichloride,1C350.7.
2812140000,포스포러스 펜타클로라이드.,Phosphorus pentachloride,1C350.38.
2812150000,설퍼 모노클로라이드.,Sulphur monochloride,1C350.51.
2812160000,설퍼 디클로라이드.,Sulphur dichloride,1C350.52.
2812170000,티오닐 클로라이드.,Thionyl chloride,1C350.9.
